V1,V2
5.369496767,5
5.817854889,5.050251256
5.950329929,5.140703518
5.504214829,5.291457286
7.442787222,5.301507538
5.475575273,5.331658291
6.232212087,5.422110553
5.715031499,5.492462312
6.039202819,5.532663317
7.870246948,5.834170854
8.314775521,5.944723618
6.686560718,6.43718593
5.396194194,6.487437186
6.896912371,6.497487437
6.420872081,6.51758794
7.806266127,6.778894472
8.586181127,6.889447236
6.724582668,6.949748744
8.199615513,7.020100503
6.935317277,7.060301508
7.494650257,7.130653266
5.996530702,7.140703518
6.35131106,7.251256281
5.274551307,7.341708543
6.34991601,7.412060302
5.648233224,7.462311558
6.342721929,7.542713568
5,7.572864322
11.43249339,7.613065327
9.227439101,7.954773869
6.877463733,8.005025126
11.65020325,8.035175879
10.64954211,8.085427136
10.39271614,8.185929648
8.589873907,8.296482412
7.038496267,8.35678392
6.158657393,8.396984925
5.620113393,8.417085427
8.691138123,8.43718593
8.819373305,8.467336683
10.16931667,8.487437186
9.839592503,8.557788945
5.71754806,8.608040201
5.578836326,8.718592965
6.413103568,8.75879397
6.221708181,8.809045226
12.0000052,8.819095477
12.65395539,8.849246231
11.42655759,8.949748744
5.947375706,8.989949749
8.506088846,9.020100503
10.6253886,9.32160804
6.531245153,9.341708543
7.998318007,9.381909548
12.92295385,9.422110553
12.94694324,9.472361809
5.161524905,9.502512563
9.47898576,9.603015075
8.4443784,9.653266332
8.4443784,9.653266332
8.482181519,9.72361809
7.983191289,9.743718593
6.72250377,9.753768844
12.08045308,9.874371859
6.492621417,9.924623116
9.517089773,9.934673367
6.274829496,9.944723618
6.307353308,9.964824121
10.71212788,10.00502513
12.93581019,10.08542714
15.39276675,10.13567839
7.818274498,10.13567839
10.01854186,10.1758794
11.16623033,10.27638191
8.705580993,10.33668342
7.43955946,10.39698492
11.33514079,10.42713568
12.72056219,10.44723618
8.353536028,10.64824121
12.64224791,10.66834171
16.73256181,10.68844221
6.673841144,10.80904523
6.492977018,10.81909548
6.787004316,10.82914573
9.007294744,10.91959799
12.97544603,10.95979899
9.581699734,11.07035176
7.433568951,11.07035176
16.94567621,11.15075377
13.3875602,11.21105528
9.317132609,11.22110553
6.870762023,11.27135678
15.141986,11.32160804
7.762746038,11.32160804
6.759021255,11.34170854
14.85351155,11.36180905
18.99333604,11.42211055
18.86953219,11.62311558
8.422358493,11.64321608
11.60154063,11.88442211
11.36785608,12.06532663
11.36785608,12.06532663
9.425071182,12.09547739
16.75493731,12.27638191
11.15066594,12.36683417
14.80107408,12.39698492
18.04440116,12.40703518
10.97612057,12.64824121
18.01245178,12.87939698
18.01245178,12.87939698
7.804953139,12.91959799
21.86136732,13.08040201
9.326049987,13.24120603
5.007440267,13.34170854
8.304736632,13.4321608
12.56746229,13.47236181
14.2930297,13.51256281
12.25486168,13.53266332
5.73757113,13.54271357
14.87889598,13.54271357
15.6125008,13.70351759
8.687773591,13.8040201
6.177558952,13.83417085
19.31737059,13.94472362
6.823357677,14.05527638
10.95612486,14.15577889
5.989528098,14.2160804
10.08845848,14.27638191
9.964408445,14.29648241
19.83474265,14.30653266
9.27640262,14.31658291
18.61910704,14.34673367
18.61910704,14.34673367
6.530205704,14.42713568
6.34028743,14.45728643
18.15551279,14.48743719
18.15551279,14.48743719
13.54799095,14.51758794
7.774781764,14.53768844
21.27257417,14.53768844
15.80099667,14.5879397
6.078072741,14.72864322
9.988862851,14.78894472
9.004121689,14.79899497
17.03914456,14.80904523
9.121278533,14.83919598
9.949418497,14.92964824
19.17488401,14.94974874
19.69964164,15.09045226
20.61887016,15.10050251
19.71260739,15.18090452
14.24702041,15.36180905
19.819698,15.3919598
20.87419166,15.67336683
7.992163375,15.71356784
23.96953402,15.86432161
22.06797149,15.88442211
12.973203,15.96482412
23.33998353,15.98492462
12.80317103,15.98492462
6.466990792,16.01507538
19.28432705,16.02512563
28.73228936,16.02512563
22.35587151,16.1758794
22.95500444,16.1959799
12.70901883,16.1959799
20.46946304,16.2361809
19.17917858,16.25628141
5.349884006,16.27638191
12.44491673,16.30653266
15.83395814,16.31658291
18.35464933,16.39698492
15.63189473,16.43718593
5.469885658,16.43718593
20.12994617,16.50753769
19.03223331,16.52763819
5.69396898,16.55778894
16.96999384,16.55778894
8.597450943,16.74874372
17.57536347,16.89949749
5.824912201,16.92964824
6.774312097,16.94974874
10.23917858,17.10050251
14.53275947,17.12060302
26.81237234,17.14070352
7.745376298,17.14070352
5.795287904,17.24120603
11.60315451,17.27135678
5.841379261,17.32160804
13.39527401,17.3919598
32.81270114,17.42211055
19.29045433,17.74371859
5.987148307,17.84422111
25.82254335,17.93467337
11.97188537,18.01507538
15.44320738,18.07537688
14.50874272,18.08542714
15.31841879,18.08542714
10.85959287,18.11557789
19.93994583,18.30653266
10.3529709,18.31658291
17.01072383,18.31658291
23.37220645,18.32663317
23.81884127,18.34673367
11.72156963,18.41708543
5.258822802,18.44723618
5.399531373,18.59798995
26.01500554,18.6281407
35.67208858,18.64824121
7.386137252,19.04020101
6.126051519,19.08040201
23.02839501,19.21105528
25.9020612,19.27135678
25.9020612,19.27135678
23.44633557,19.30150754
28.35185103,19.31155779
21.92726291,19.32160804
21.92726291,19.32160804
22.01137622,19.4321608
6.073504636,19.46231156
6.135734807,19.70351759
24.75062524,19.84422111
6.079331022,19.85427136
35.28661712,19.86432161
22.81287347,19.95477387
5.897837755,20.03517588
7.716599973,20.04522613
11.61767944,20.08542714
6.108162054,20.09547739
12.9016725,20.1959799
8.542606331,20.1959799
28.07905037,20.22613065
13.33553304,20.31658291
39.85029062,20.31658291
7.235526562,20.38693467
12.30081627,20.39698492
7.343793382,20.42713568
28.52757262,20.43718593
5.918818212,20.44723618
18.52156296,20.45728643
5.785987571,20.49748744
5.793756085,20.52763819
26.9725022,20.5879397
26.10707884,20.63819095
31.78569817,20.76884422
20.4011603,20.95979899
20.4011603,20.95979899
8.585524633,21.05025126
31.84997988,21.09045226
6.761483108,21.17085427
5.463703672,21.22110553
6.063246916,21.35175879
14.07726197,21.4120603
7.828395449,21.56281407
6.247147328,21.58291457
8.126443774,21.58291457
11.175093,21.60301508
28.5114338,21.64321608
10.36303714,21.79396985
19.64487909,21.8241206
33.26458791,21.92462312
18.02870001,21.93467337
8.759522926,22.16582915
29.6648666,22.20603015
6.649085846,22.24623116
33.2473823,22.28643216
5.838479746,22.31658291
21.39728069,22.43718593
6.005557496,22.59798995
5.713827927,22.68844221
19.99539223,22.68844221
19.99539223,22.68844221
6.455365376,22.84924623
7.390267694,22.92964824
6.444806762,23.04020101
6.703656918,23.06030151
30.3102003,23.07035176
32.9331131,23.16080402
6.738505814,23.18090452
19.41540704,23.18090452
9.177873796,23.21105528
6.395077334,23.23115578
6.395077334,23.23115578
20.59217273,23.28140704
5.535945378,23.34170854
9.286879172,23.36180905
10.45305889,23.3919598
6.33673142,23.50251256
37.10630937,23.62311558
6.583545851,23.66331658
12.68204787,23.68341709
20.75295908,23.69346734
5.849448668,23.71356784
5.843348744,23.72361809
9.73786327,23.7638191
6.20132951,23.81407035
11.53047514,23.84422111
37.78066559,23.89447236
39.31393494,24.01507538
18.93356772,24.13567839
7.310448952,24.26633166
