1,1096327,33966,798,882
2,590101,735,904,0
3,473988,2011,243,149
4,1242680,70353,1624,2684
5,464015,492,293,66
6,6106669,98612,4185,4763
7,5718766,127477,7134,8063
8,10588371,132738,8812,10847
9,118223,520,53,23
10,969030,59798,1545,2404
11,632747,4330,2183,2869
12,2348107,32834,710,1743
13,156085,716,53,0
14,472413,2611,250,174
15,836006,24460,180,594
16,89531,238,59,18
17,344545,25717,417,2870
18,35885754,829362,61195,101117
19,209599,14070,448,1105
20,2418783,97187,6146,12703
21,2294242,14960,1361,913
22,1956925,9504,938,956
23,387221,2159,1214,711
24,176472,588,52,23
25,55178,45,94,15
26,236710,858,197,66
27,238637,7975,368,1274
28,85432,114,91,13
29,249423,7861,68,364
30,256199,318,123,35
31,137438,3926,249,131
32,261202,1971,126,201
33,655660,8505,868,1361
34,423009,1514,347,118
35,33533,0,0,10
36,75834,160,15,9
37,128851,0,0,0
38,156063,5406,534,1047
39,1287771,52194,253,3122
40,56430,244,94,43
41,793778,21956,1590,1661
42,309490,1560,200,108
43,334780,1307,230,744
44,23932,0,0,7
45,54861,247,20,10
46,1174353,20095,2517,2250
47,127517,3676,381,2169
48,255707,2267,121,338
49,97522,838,189,49
50,692359,2523,618,194
51,47352,2240,31,543
52,114466,1580,163,255
53,109594,790,189,145
54,103239,7191,91,746
55,150806,1311,508,740
56,170707,1152,178,166
57,77888,889,75,44
58,779856,14281,490,1021
59,154502,543,15,15
60,433053,938,298,119
61,1025941,6019,234,280
62,1449239,120289,3108,3296
63,93662,33,5,10
64,696515,12397,449,385
65,74888,663,71,14
66,3153224,28450,2285,3312
67,162637,1302,228,408
68,544102,13384,438,409
69,52312,547,25,59
70,90826,104,85,20
71,23114,0,0,0
72,357019,2487,219,326
73,117022,466,135,24
74,32811,48,27,1
75,263844,9983,677,514
76,202926,2057,244,896
77,1353040,53866,1111,2232
78,24700,360,30,13
79,55523,220,41,5
80,24276,1,1,1
81,58675,226,23,30
82,73579,2095,84,547
83,65054,349,28,0
84,132421,3509,89,294
85,58019,87,31,0
86,12790,234,22,46
87,153384,29321,750,1787
88,75843,55,35,4
89,269593,3931,390,640
90,868921,34242,1317,4604
91,33523622,1634126,21082,85067
92,209606,3739,118,245
93,37616,17,0,5
94,482839,3978,248,848
95,181117,3218,222,517
96,146859,421,52,5
97,108414,3771,5349,2491
98,78447,241,11,13
99,218178,1373,214,118
100,103665,566,66,76
101,2095731,132237,1989,17518
102,1014724,25413,891,1030
103,277050,2131,113,538
104,109580,391,73,18
105,308394,5415,1833,568
106,298998,1260,371,0
107,748248,18891,1001,2078
108,17006,287,2,11
109,377572,1717,170,55
110,134307,1762,104,437
111,277839,1167,162,87
112,85165,244,41,16
113,69426,1112,125,0
114,2664065,2351,4169,883
115,16825,31,12,2
116,84097,352,44,47
117,367797,2254,605,0
118,315154,842,219,183
119,26675,540,21,75
120,185537,7629,734,607
121,66463,622,50,28
122,36092,106,58,3
123,35431,51,32,9
124,59708,151,37,11
125,182209,970,152,107
126,249737,1303,483,411
127,204351,5192,480,303
128,37384,164,32,6
129,197122,0,0,130
130,94383,168,18,23
131,353789,25657,1949,1226
132,121361,1364,75,78
133,50220,15,0,3
134,96306,52,75,41
135,31052,36,11,2
136,1641745,7643,702,1082
137,42032,243,32,104
138,71272,309,38,66
139,90034,1948,183,145
140,25844,1440,22,71
141,51575,0,0,0
142,71786,9067,453,5427
143,7125,18,0,0
144,158126,3477,136,435
145,31421,57,12,4
146,14018,764,9,102
147,15107,1090,6,133
148,20463,111,20,23
149,23082,31,12,7
150,19567,171,28,204
151,34206,24,44,21
152,55908,452,18,30
153,37786,1102,28,54
154,64656,392,47,83
155,662980,18875,2323,3995
156,98212,670,87,108
157,92089,895,137,533
158,63293,172,20,1
159,7573,1,1,2
160,22933,83,28,17
161,70810,3768,191,257
162,69459,351,70,190
163,82449,1305,83,73
164,58815,131,37,3
165,68808,4664,99,760
166,103975,162,54,12
167,64197,904,99,130
168,2820328,96617,6336,12063
169,47328,1053,30,75
170,40355,76,43,14
171,85832,423,94,120
172,279282,2560,292,263
173,62151,843,67,48
174,30659,180,36,3
175,81117,1237,90,80
176,72644,44,44,0
177,81305,104,52,5
178,308383,20361,851,13553
179,1205088,65244,1435,2729
180,194888,4711,263,416
181,204389,2687,145,101
182,177563,292,40,20
183,50914,868,32,42
184,141759,175,46,50
185,60541,249,65,10
186,68992,2769,209,585
187,66231,203,42,23
188,206015,142,56,11
189,376679,1308,63,74
190,743321,2570,1154,294
191,12408,113,22,36
192,100662,2021,453,242
